HEADER[~&~	~&~UNIV_DT::TIMESTAMP~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'200707130000000000'~&~	~&~'683D47188F6C89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707140000000000'~&~	~&~'683D47188F6D89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707150000000000'~&~	~&~'683D47188F6E89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707160000000000'~&~	~&~'683D47188F6F89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707170000000000'~&~	~&~'683D47188F7089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707180000000000'~&~	~&~'683D47188F7189DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707190000000000'~&~	~&~'683D47188F7289DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707200000000000'~&~	~&~'683D47188F7389DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707210000000000'~&~	~&~'683D47188F7489DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707220000000000'~&~	~&~'683D47188F7589DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707230000000000'~&~	~&~'683D47188F7689DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707240000000000'~&~	~&~'683D47188F7789DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707250000000000'~&~	~&~'683D47188F7889DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707260000000000'~&~	~&~'683D47188F7989DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707270000000000'~&~	~&~'683D47188F7A89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707280000000000'~&~	~&~'683D47188F7B89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707290000000000'~&~	~&~'683D47188F7C89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707300000000000'~&~	~&~'683D47188F7D89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707310000000000'~&~	~&~'683D47188F7E89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200708010000000000'~&~	~&~'683D47188F7F89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708020000000000'~&~	~&~'683D47188F8089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708030000000000'~&~	~&~'683D47188F8189DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708040000000000'~&~	~&~'683D47188F8289DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708050000000000'~&~	~&~'683D47188F8389DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708060000000000'~&~	~&~'683D47188F8489DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708070000000000'~&~	~&~'683D47188F8589DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708080000000000'~&~	~&~'683D47188F8689DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708090000000000'~&~	~&~'683D47188F8789DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708100000000000'~&~	~&~'683D47188F8889DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708110000000000'~&~	~&~'683D47188F8989DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708120000000000'~&~	~&~'683D47188F8A89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708130000000000'~&~	~&~'683D47188F8B89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708140000000000'~&~	~&~'683D47188F8C89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708150000000000'~&~	~&~'683D47188F8D89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708160000000000'~&~	~&~'683D47188F8E89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708170000000000'~&~	~&~'683D47188F8F89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708180000000000'~&~	~&~'683D47188F9089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708190000000000'~&~	~&~'683D47188F9189DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708200000000000'~&~	~&~'683D47188F9289DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708210000000000'~&~	~&~'683D47188F9389DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
