HEADER[~&~	~&~PUR_COMM_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PUR_COMM_DESC::VARCHAR~&~	~&~PUR_SALES_TAX_IND::VARCHAR~&~	~&~ITM_RSTRC_IND::VARCHAR~&~	~&~SNSTV_DTA_CD::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'812191'~&~	~&~'486D34789062C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Diet and Weight Reducing Centers'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812199'~&~	~&~'486D34789063C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Personal Care Services'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8122'~&~	~&~'486D34788926C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Death Care Services'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81221'~&~	~&~'486D34788BD7C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Funeral Homes and Funeral Services'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812210'~&~	~&~'486D34789064C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Funeral Homes and Funeral Services'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81222'~&~	~&~'486D34788BD8C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Cemeteries and Crematories'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812220'~&~	~&~'486D34789065C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Cemeteries and Crematories'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8123'~&~	~&~'486D34788927C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Drycleaning and Laundry Services'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81231'~&~	~&~'486D34788BD9C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Coin-Operated Laundries and Drycleaners'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812310'~&~	~&~'486D34789066C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Coin-Operated Laundries and Drycleaners'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81232'~&~	~&~'486D34788BDAC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Drycleaning and Laundry Services (except Coin-Operated)'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812320'~&~	~&~'486D34789067C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Drycleaning and Laundry Services (except Coin-Operated)'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81233'~&~	~&~'486D34788BDBC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Linen and Uniform Supply'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812331'~&~	~&~'486D34789068C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Linen Supply'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812332'~&~	~&~'486D34789069C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Industrial Launderers'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8129'~&~	~&~'486D34788928C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Personal Services'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81291'~&~	~&~'486D34788BDCC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Pet Care (except Veterinary) Services'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812910'~&~	~&~'486D3478906AC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Pet Care (except Veterinary) Services'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81292'~&~	~&~'486D34788BDDC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Photofinishing'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812921'~&~	~&~'486D3478906BC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Photofinishing Laboratories (except One-Hour)'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
