HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FS_FUNC_CTRL_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FS_FUNC_ACTIVE_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2016'~&~	~&~'PSSYNC'~&~	~&~'ed98ae35-82f4-4744-bbf6-1704ec0bc38a'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'BAACTV'~&~	~&~'af2828a7-73cc-4e45-9607-56698a947531'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'BASEAD'~&~	~&~'6a9f2e39-8047-4510-a3d5-6ca8a3289ac7'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'BCACTV'~&~	~&~'e957967d-82de-4b04-aa53-3e43e81de4e9'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'BCGENE'~&~	~&~'e17b552a-b1c6-4090-a2b8-ae48b7ef5e2a'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'BCUPDT'~&~	~&~'127e6ffc-b76e-463b-8d05-4d0133e4755a'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'BSSYNC'~&~	~&~'7b9db976-3114-402e-bdab-87cf37207d46'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'CSFUPD'~&~	~&~'49c9cb8e-daba-4511-9643-3b6a0909c61d'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'PSSYNC'~&~	~&~'382711b1-fa31-4477-9ec6-bb17d6ff0c26'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'BAACTV'~&~	~&~'ebb62df3-7a08-4622-a7d2-45e2f29d3fd1'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
