HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_SERIES_ID::VARCHAR~&~	~&~AWRD_ICR_ENTRY_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~TRN_DEBIT_CRDT_CD::VARCHAR~&~	~&~AWRD_ICR_RATE_PCT::DECIMAL~&~	~&~ACCT_ICR_RATE_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'013'~&~	~&~'1'~&~	~&~'D4A6856C-C9FF-3F51-1673-0CDCAA249832'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'7.800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'013'~&~	~&~'2'~&~	~&~'3348864A-078E-C03F-67CA-C77D643C7B84'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'7.800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'014'~&~	~&~'1'~&~	~&~'620391D0-9DED-87DC-E66F-00DBE0A7AC0D'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'8.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'014'~&~	~&~'2'~&~	~&~'7B1734F7-77B7-5A66-9303-3DE2FE75F8DD'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'8.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'015'~&~	~&~'1'~&~	~&~'473C1167-D4AD-3247-11D5-DB8F24A22595'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'8.640'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'015'~&~	~&~'2'~&~	~&~'808CA61E-6BD2-795F-89E7-72086E027408'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'8.640'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'016'~&~	~&~'1'~&~	~&~'F8C17B48-0E18-EFE3-ACC2-3BE2517E61CF'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'9.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'016'~&~	~&~'2'~&~	~&~'C59F477C-13B8-4C9A-4361-BEA1FFF424CB'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'9.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'017'~&~	~&~'1'~&~	~&~'2EF37BBE-E0B9-BBF0-97A9-31F51BE1A790'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'9.800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'017'~&~	~&~'2'~&~	~&~'6918398E-7A74-98EE-6C62-C31BD42F7963'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'9.800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'018'~&~	~&~'1'~&~	~&~'E390D5C5-4E74-8283-C221-DC2EB0902745'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'10.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'018'~&~	~&~'2'~&~	~&~'B6EF91AF-3E53-6093-576B-622E4019E994'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'10.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'019'~&~	~&~'1'~&~	~&~'BE9F5A1C-1214-8B8C-21C1-B5C07514C9E8'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'10.950'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'019'~&~	~&~'2'~&~	~&~'EB9F3324-ECC0-A791-97F7-634781A70AED'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'10.950'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'020'~&~	~&~'1'~&~	~&~'C4280A34-5C3B-143B-FF7B-343D4F4B9D52'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'11.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'020'~&~	~&~'2'~&~	~&~'1E56F39C-6FEE-1407-9652-FA10F61F709A'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'11.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'021'~&~	~&~'1'~&~	~&~'9FEE7538-6F5F-103F-A46F-31EA5B8E27AB'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'11.110'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'021'~&~	~&~'2'~&~	~&~'D1B7EE0E-1D1C-F94E-C611-B0135C69D392'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'11.110'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'022'~&~	~&~'1'~&~	~&~'1E8ACB63-2E87-027E-1981-D697E7CFEA88'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'11.140'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'022'~&~	~&~'2'~&~	~&~'B0F919B2-AB4E-C16B-EB48-C4E3981C567B'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'11.140'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'023'~&~	~&~'1'~&~	~&~'37545918-AC24-F384-CB40-8784521DC568'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'11.500'~&~	~&~'Y'~&~	~&~]RECORD
