HEADER[~&~	~&~FDOC_NBR::VARCHAR~&~	~&~FDOC_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FDOC_100_DLR_AMT::DECIMAL~&~	~&~FDOC_50_DLR_AMT::DECIMAL~&~	~&~FDOC_20_DLR_AMT::DECIMAL~&~	~&~FDOC_10_DLR_AMT::DECIMAL~&~	~&~FDOC_5_DLR_AMT::DECIMAL~&~	~&~FDOC_2_DLR_AMT::DECIMAL~&~	~&~FDOC_1_DLR_AMT::DECIMAL~&~	~&~FDOC_OTHR_DLR_AMT::DECIMAL~&~	~&~CSHR_STAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'AK1550904'~&~	~&~'CD'~&~	~&~'13EDF6100C3C4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'240.00'~&~	~&~NULL~&~	~&~'15.00'~&~	~&~NULL~&~	~&~'16.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AK1550904'~&~	~&~'CR'~&~	~&~'13EDF6100C3D4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'240.00'~&~	~&~NULL~&~	~&~'15.00'~&~	~&~NULL~&~	~&~'16.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AK2708404'~&~	~&~'CD'~&~	~&~'13EDF610131C4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~'50.00'~&~	~&~'1380.00'~&~	~&~'40.00'~&~	~&~'95.00'~&~	~&~NULL~&~	~&~'90.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AK2708404'~&~	~&~'CR'~&~	~&~'13EDF610131D4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~'50.00'~&~	~&~'1380.00'~&~	~&~'40.00'~&~	~&~'95.00'~&~	~&~NULL~&~	~&~'90.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AK7942904'~&~	~&~'CD'~&~	~&~'13EDF610117A4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'140.00'~&~	~&~'20.00'~&~	~&~'15.00'~&~	~&~NULL~&~	~&~'2.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AK7942904'~&~	~&~'CR'~&~	~&~'13EDF610117B4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'140.00'~&~	~&~'20.00'~&~	~&~'15.00'~&~	~&~NULL~&~	~&~'2.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AK8814104'~&~	~&~'CD'~&~	~&~'13EDF61016544072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1400.00'~&~	~&~'230.00'~&~	~&~'20.00'~&~	~&~NULL~&~	~&~'48.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AK8814104'~&~	~&~'CR'~&~	~&~'13EDF61016554072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1400.00'~&~	~&~'230.00'~&~	~&~'20.00'~&~	~&~NULL~&~	~&~'48.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AK9668304'~&~	~&~'CD'~&~	~&~'13EDF61012A54072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'20.00'~&~	~&~'40.00'~&~	~&~'30.00'~&~	~&~NULL~&~	~&~'2.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AK9668304'~&~	~&~'CR'~&~	~&~'13EDF61012A64072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'20.00'~&~	~&~'40.00'~&~	~&~'30.00'~&~	~&~NULL~&~	~&~'2.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AL3375804'~&~	~&~'CD'~&~	~&~'13EDF61014044072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'20.00'~&~	~&~'10.00'~&~	~&~NULL~&~	~&~'7.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AL3375804'~&~	~&~'CR'~&~	~&~'13EDF61014054072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'20.00'~&~	~&~'10.00'~&~	~&~NULL~&~	~&~'7.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
