HEADER[~&~	~&~ITM_UOM_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ITM_UOM_DESC::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'SL'~&~	~&~'4BB3F38EC89257D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'SLEEVE'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'SP'~&~	~&~'4BB3F38EC89957D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'SPOOL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'SQ'~&~	~&~'4BB3F38EC89F57D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'SQ FOOT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'ST'~&~	~&~'4BB3F38EC89657D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'SET'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'SY'~&~	~&~'4BB3F38EC8A057D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'SQ YARD'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'TN'~&~	~&~'4BB3F38EC88057D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'TON'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'TU'~&~	~&~'4BB3F38EC89557D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'TUBE'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'UL'~&~	~&~'4BB3F38EC88A57D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'MICROLITER'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'UN'~&~	~&~'4BB3F38EC8A257D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'UNIT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'VL'~&~	~&~'4BB3F38EC89057D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'VIAL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'WK'~&~	~&~'4BB3F38EC8A857D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'WEEK'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'YD'~&~	~&~'4BB3F38EC88657D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'YARD'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'YR'~&~	~&~'4BB3F38EC89B57D2E0404F8189D83A2C'~&~	~&~'1'~&~	~&~'YEAR'~&~	~&~'Y'~&~	~&~]RECORD
