HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_OBJ_SUB_TYPE_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CPTLZTN_FOBJ_CD::VARCHAR~&~	~&~ACCUM_DEPR_FOBJ_CD::VARCHAR~&~	~&~DEPR_EXP_FOBJ_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BR'~&~	~&~'5176F1952CF7CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8601'~&~	~&~'8907'~&~	~&~'5117'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BX'~&~	~&~'5176F1952CF8CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8640'~&~	~&~'8945'~&~	~&~'5117'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BY'~&~	~&~'5176F1952D05CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8641'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'C1'~&~	~&~'5176F1952CFACCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8627'~&~	~&~'8927'~&~	~&~'5127'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'C2'~&~	~&~'5176F1952CFBCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8628'~&~	~&~'8928'~&~	~&~'5128'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'CF'~&~	~&~'5176F1952CF5CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8611'~&~	~&~'8910'~&~	~&~'5115'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'CL'~&~	~&~'5176F1952D06CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'9603'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'CM'~&~	~&~'5176F1952CF6CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8610'~&~	~&~'8910'~&~	~&~'5115'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'CO'~&~	~&~'5176F1952D07CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'CP'~&~	~&~'5176F1952D08CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'ES'~&~	~&~'5176F1952CFFCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8630'~&~	~&~'8930'~&~	~&~'5156'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'IF'~&~	~&~'5176F1952D00CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8604'~&~	~&~'8904'~&~	~&~'5157'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'LA'~&~	~&~'5176F1952D09CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8603'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'LE'~&~	~&~'5176F1952D01CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8608'~&~	~&~'8908'~&~	~&~'5158'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'LF'~&~	~&~'5176F1952D02CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8614'~&~	~&~'8913'~&~	~&~'5159'~&~	~&~'Y'~&~	~&~]RECORD
