HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_NBR::VARCHAR~&~	~&~LBR_RPT_POSOBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2012'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'B7314C0E-9772-30F5-A56A-409AAD780865'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'C4858F7E-B41B-7492-22B6-2B81F783146E'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'EAE4B4FA-DECE-2E23-CD63-81A56B687C3B'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'B02'~&~	~&~'CL'~&~	~&~'65E964C9-1717-2240-7345-A203CDD55944'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'B02'~&~	~&~'HO'~&~	~&~'0C882D00-34BB-3AC6-B21B-D583D0B4DD7D'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'B03'~&~	~&~'CL'~&~	~&~'0D54AA4D-FB7B-D781-50FB-240CBC9B569B'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'B03'~&~	~&~'HO'~&~	~&~'351CD4A2-CE3E-1B95-5D77-26BD9B2B5D75'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'B04'~&~	~&~'CL'~&~	~&~'F1E5A8CC-7A3D-2AB4-38B1-EEE7BABB89A6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'B04'~&~	~&~'HO'~&~	~&~'086954BA-009C-3D17-CD12-CC3CE7DCDB9B'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'M01'~&~	~&~'AC'~&~	~&~'D6B59279-9424-019D-349A-7389BD0D06AE'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
