HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_TYP_CD::VARCHAR~&~	~&~ERNCD::VARCHAR~&~	~&~PAYGROUP::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2010'~&~	~&~'BI'~&~	~&~'RMO'~&~	~&~'SMO'~&~	~&~'3F917CC1-96DF-AA6D-ED90-57E6FF6A3465'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'10'~&~	~&~'REG'~&~	~&~'S10'~&~	~&~'E3237F7F-74EF-9231-D864-2D4C275A0D18'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'10'~&~	~&~'RGA'~&~	~&~'A10'~&~	~&~'5C635B4F-FB9C-73AE-1BF5-E4227F5CAB0B'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'10'~&~	~&~'RGS'~&~	~&~'AS0'~&~	~&~'1915168E-D067-CF1D-BB47-CE9E258F667D'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'12'~&~	~&~'REG'~&~	~&~'S12'~&~	~&~'6A16BB91-AFF5-41DD-A27A-32FFF53C0E83'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'12'~&~	~&~'RGA'~&~	~&~'A12'~&~	~&~'73BE57B0-D7BD-7842-DEFA-6694B9F6E246'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'12'~&~	~&~'RGR'~&~	~&~'RES'~&~	~&~'92F2B1D2-9AB5-74D7-55C9-79D358EFFB93'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'12'~&~	~&~'RGS'~&~	~&~'AS2'~&~	~&~'84311664-B675-5388-2A50-3187746C5E71'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BI'~&~	~&~'OCC'~&~	~&~'HRX'~&~	~&~'02DA2283-46B6-CC63-52DE-F02BBD76E284'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BI'~&~	~&~'RAO'~&~	~&~'AOE'~&~	~&~'F6CC6363-33E6-EE98-A8BA-3DE28CF70283'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BI'~&~	~&~'RGA'~&~	~&~'SUM'~&~	~&~'DAE5BE3A-C80F-8456-8921-1A55934923DB'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRA'~&~	~&~'53D916D8-83AC-D3D0-FCBE-94D1681DE4DA'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRR'~&~	~&~'D31B26EE-1F15-E9D4-5DF7-2D7C86104E63'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BI'~&~	~&~'RGN'~&~	~&~'BW1'~&~	~&~'8C2F7699-3CC9-44D6-6676-700A407A121D'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BI'~&~	~&~'RGP'~&~	~&~'HRP'~&~	~&~'E2703649-9378-F2F6-C757-841EDC779E9F'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BI'~&~	~&~'RGW'~&~	~&~'HRW'~&~	~&~'1F107297-F96A-3CCD-0179-43F5E44FED15'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BI'~&~	~&~'RMO'~&~	~&~'SMO'~&~	~&~'CD881F0B-CCB6-E184-C27C-4710E83330D1'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
