HEADER[~&~	~&~POSTAL_STATE_CD::VARCHAR~&~	~&~POSTAL_CNTRY_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~POSTAL_STATE_NM::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BC'~&~	~&~'MX'~&~	~&~'KFS-TEM-STATE-023'~&~	~&~'1'~&~	~&~'Baja California Norte'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BS'~&~	~&~'MX'~&~	~&~'KFS-TEM-STATE-024'~&~	~&~'1'~&~	~&~'Baja California Sur'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CA'~&~	~&~'US'~&~	~&~'56908AA37A0B661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'CALIFORNIA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CH'~&~	~&~'MX'~&~	~&~'KFS-TEM-STATE-025'~&~	~&~'1'~&~	~&~'Chihuahua'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CL'~&~	~&~'MX'~&~	~&~'KFS-TEM-STATE-026'~&~	~&~'1'~&~	~&~'Colima'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CM'~&~	~&~'MX'~&~	~&~'KFS-TEM-STATE-027'~&~	~&~'1'~&~	~&~'Campeche'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CO'~&~	~&~'MX'~&~	~&~'KFS-TEM-STATE-028'~&~	~&~'1'~&~	~&~'Coahuila'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CO'~&~	~&~'US'~&~	~&~'56908AA37A0C661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'COLORADO'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CS'~&~	~&~'MX'~&~	~&~'KFS-TEM-STATE-029'~&~	~&~'1'~&~	~&~'Chiapas'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CT'~&~	~&~'US'~&~	~&~'56908AA37A0D661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'CONNECTICUT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DC'~&~	~&~'US'~&~	~&~'56908AA37A0E661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'DISTRICT OF COLUMBIA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DE'~&~	~&~'US'~&~	~&~'56908AA37A0F661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'DELAWARE'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DF'~&~	~&~'MX'~&~	~&~'KFS-TEM-STATE-030'~&~	~&~'1'~&~	~&~'Distrito Federal'~&~	~&~'Y'~&~	~&~]RECORD
