HEADER[~&~	~&~ROLE_PERM_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROLE_ID::VARCHAR~&~	~&~PERM_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS115'~&~	~&~'KFS115'~&~	~&~'1'~&~	~&~'18'~&~	~&~'90'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS116'~&~	~&~'KFS116'~&~	~&~'1'~&~	~&~'44'~&~	~&~'91'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS117'~&~	~&~'KFS117'~&~	~&~'1'~&~	~&~'62'~&~	~&~'91'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS118'~&~	~&~'KFS118'~&~	~&~'1'~&~	~&~'32'~&~	~&~'92'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS119'~&~	~&~'KFS119'~&~	~&~'1'~&~	~&~'54'~&~	~&~'92'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS12'~&~	~&~'KFS12'~&~	~&~'1'~&~	~&~'2'~&~	~&~'12'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS121'~&~	~&~'KFS121'~&~	~&~'1'~&~	~&~'26'~&~	~&~'93'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS123'~&~	~&~'KFS123'~&~	~&~'1'~&~	~&~'26'~&~	~&~'94'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS124'~&~	~&~'KFS124'~&~	~&~'1'~&~	~&~'62'~&~	~&~'94'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS125'~&~	~&~'KFS125'~&~	~&~'1'~&~	~&~'32'~&~	~&~'95'~&~	~&~'Y'~&~	~&~]RECORD
