HEADER[~&~	~&~DOC_TYP_ID::VARCHAR~&~	~&~PARNT_ID::VARCHAR~&~	~&~DOC_TYP_NM::VARCHAR~&~	~&~DOC_TYP_VER_NBR::DECIMAL~&~	~&~ACTV_IND::DECIMAL~&~	~&~CUR_IND::DECIMAL~&~	~&~LBL::VARCHAR~&~	~&~PREV_DOC_TYP_VER_NBR::VARCHAR~&~	~&~DOC_TYP_DESC::VARCHAR~&~	~&~DOC_HDLR_URL::VARCHAR~&~	~&~POST_PRCSR::VARCHAR~&~	~&~JNDI_URL::VARCHAR~&~	~&~BLNKT_APPR_PLCY::VARCHAR~&~	~&~ADV_DOC_SRCH_URL::VARCHAR~&~	~&~RTE_VER_NBR::VARCHAR~&~	~&~NOTIFY_ADDR::VARCHAR~&~	~&~APPL_ID::VARCHAR~&~	~&~EMAIL_XSL::VARCHAR~&~	~&~SEC_XML::LONGVARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~BLNKT_APPR_GRP_ID::VARCHAR~&~	~&~RPT_GRP_ID::VARCHAR~&~	~&~GRP_ID::VARCHAR~&~	~&~HELP_DEF_URL::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~DOC_SEARCH_HELP_URL::VARCHAR~&~	~&~DOC_HDR_ID::VARCHAR~&~	~&~AUTHORIZER::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2699'~&~	~&~'2681'~&~	~&~'RoutingRuleDelegationMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Routing Rule Delegation'~&~	~&~NULL~&~	~&~'Routing Rule Delegation'~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~'org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A6DC8753-AF90-7A01-0EF7-E6D446529668'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2708'~&~	~&~'2681'~&~	~&~'CampusMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'CampusMaintenanceDocument'~&~	~&~NULL~&~	~&~NULL~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'default.htm?turl=WordDocuments%2Fcampus.htm'~&~	~&~'616D94CA-D08D-D036-E77D-4B53DB34CD95'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2709'~&~	~&~'2681'~&~	~&~'CampusTypeMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'CampusTypeMaintenanceDocument'~&~	~&~NULL~&~	~&~NULL~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'default.htm?turl=WordDocuments%2Fcampustype.htm'~&~	~&~'DE0B8588-E459-C07A-87B8-6ACD693AE70C'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2710'~&~	~&~'2681'~&~	~&~'CountryMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'CountryMaintenanceDocument'~&~	~&~NULL~&~	~&~NULL~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'default.htm?turl=WordDocuments%2Fcountry.htm'~&~	~&~'82EDB593-97BA-428E-C6E7-A7F3031CFAEB'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2711'~&~	~&~'2681'~&~	~&~'CountyMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'CountyMaintenanceDocument'~&~	~&~NULL~&~	~&~NULL~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'default.htm?turl=WordDocuments%2Fcounty.htm'~&~	~&~'C972E260-5552-BB63-72E6-A514301B0326'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2712'~&~	~&~'2681'~&~	~&~'PostalCodeMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'PostalCodeMaintenanceDocument'~&~	~&~NULL~&~	~&~NULL~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'default.htm?turl=WordDocuments%2Fpostalcode.htm'~&~	~&~'B79D1104-BC48-1597-AFBE-773EED31A110'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2713'~&~	~&~'2681'~&~	~&~'StateMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'StateMaintenanceDocument'~&~	~&~NULL~&~	~&~NULL~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'default.htm?turl=WordDocuments%2Fstate.htm'~&~	~&~'EF2378F6-E770-D7BF-B7F1-C18881E3AFF0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2994'~&~	~&~'2681'~&~	~&~'IdentityManagementDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Identity Management Document'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'944596CD-A7FC-0DEE-EDE1-52A52BED85CC'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2995'~&~	~&~'2994'~&~	~&~'IdentityManagementRoleDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Role'~&~	~&~NULL~&~	~&~NULL~&~	~&~'${kim.url}/identityManagementRoleDocument.do?methodToCall=docHandler'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'default.htm?turl=WordDocuments%2Frole.htm'~&~	~&~'FEA8D9DD-0592-0525-B2BD-2F4BA811CF30'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2996'~&~	~&~'2994'~&~	~&~'IdentityManagementGroupDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Group'~&~	~&~NULL~&~	~&~NULL~&~	~&~'${kim.url}/identityManagementGroupDocument.do?methodToCall=docHandler'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'default.htm?turl=WordDocuments%2Fgroup.htm'~&~	~&~'D9636763-7749-8F3F-4570-21181E977AE3'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
