HEADER[~&~	~&~PERSON_UNVL_ID::VARCHAR~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~RPTS_TO_FIN_COA_CD::VARCHAR~&~	~&~RPTS_TO_ORG_CD::VARCHAR~&~	~&~PULL_FLAG::DECIMAL~&~	~&~]HEADER
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CUGE'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'MANT'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CVAH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'DDDR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'FSDR'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'DSBL'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'MOTR'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'EIDR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'EISH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'HOUS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ELEC'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'PHYP'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'EQRE'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'BL'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'EVAH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'FAC'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'AUTM'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'FOOD'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CNFD'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'FRAT'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'TRAN'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'FRDR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'0'~&~	~&~]RECORD
