HEADER[~&~	~&~CG_PRPSL_CLOSE_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CG_LAST_CLOSED_DT::TIMESTAMP~&~	~&~CGAWD_CLOSED_CNT::DECIMAL~&~	~&~CGPRPSL_CLOSED_CNT::DECIMAL~&~	~&~PERSON_USER_ID::VARCHAR~&~	~&~CG_USR_INITIATE_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'124'~&~	~&~'237D10FAAC27C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200410310000000000'~&~	~&~'188'~&~	~&~'305'~&~	~&~'MESCHICK'~&~	~&~'200412070000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'125'~&~	~&~'237D10FAAC28C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200411300000000000'~&~	~&~'147'~&~	~&~'266'~&~	~&~'MESCHICK'~&~	~&~'200412090000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'126'~&~	~&~'237D10FAAC29C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200512310000000000'~&~	~&~'136'~&~	~&~'236'~&~	~&~'MESCHICK'~&~	~&~'200501070000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'127'~&~	~&~'237D10FAAC2AC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200501310000000000'~&~	~&~'135'~&~	~&~'414'~&~	~&~'MESCHICK'~&~	~&~'200502070000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'128'~&~	~&~'237D10FAAC2BC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200502280000000000'~&~	~&~'0'~&~	~&~'0'~&~	~&~'EWORKMAN'~&~	~&~'200503070000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'129'~&~	~&~'237D10FAAC2CC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200502280000000000'~&~	~&~'177'~&~	~&~'397'~&~	~&~'EWORKMAN'~&~	~&~'200503070000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'13'~&~	~&~'237D10FAABB8C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199606300000000000'~&~	~&~'120'~&~	~&~'283'~&~	~&~'SPOLLARD'~&~	~&~'199608090000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'14'~&~	~&~'237D10FAABB9C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199607310000000000'~&~	~&~'325'~&~	~&~'190'~&~	~&~'SPOLLARD'~&~	~&~'199608300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'15'~&~	~&~'237D10FAABBAC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199608310000000000'~&~	~&~'144'~&~	~&~'153'~&~	~&~'DMCDEVIT'~&~	~&~'199609130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'16'~&~	~&~'237D10FAABBBC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199609300000000000'~&~	~&~'203'~&~	~&~'269'~&~	~&~'SPOLLARD'~&~	~&~'199610140000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'17'~&~	~&~'237D10FAABBCC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199610310000000000'~&~	~&~'155'~&~	~&~'282'~&~	~&~'SPOLLARD'~&~	~&~'199611150000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'18'~&~	~&~'237D10FAABBDC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199611300000000000'~&~	~&~'93'~&~	~&~'183'~&~	~&~'SPOLLARD'~&~	~&~'199612130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'19'~&~	~&~'237D10FAABBEC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199712310000000000'~&~	~&~'91'~&~	~&~'202'~&~	~&~'SPOLLARD'~&~	~&~'199701160000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2'~&~	~&~'237D10FAABADC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199508310000000000'~&~	~&~'189'~&~	~&~'197'~&~	~&~'SPOLLARD'~&~	~&~'199509200000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'20'~&~	~&~'237D10FAABBFC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199701310000000000'~&~	~&~'154'~&~	~&~'253'~&~	~&~'SPOLLARD'~&~	~&~'199702130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'21'~&~	~&~'237D10FAABC0C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199702280000000000'~&~	~&~'112'~&~	~&~'239'~&~	~&~'EWORKMAN'~&~	~&~'199703130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'22'~&~	~&~'237D10FAABC1C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199703310000000000'~&~	~&~'107'~&~	~&~'206'~&~	~&~'SPOLLARD'~&~	~&~'199704110000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'23'~&~	~&~'237D10FAABC2C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199704300000000000'~&~	~&~'140'~&~	~&~'299'~&~	~&~'SPOLLARD'~&~	~&~'199705130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'24'~&~	~&~'237D10FAABC3C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199705310000000000'~&~	~&~'207'~&~	~&~'321'~&~	~&~'EWORKMAN'~&~	~&~'199706120000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'25'~&~	~&~'237D10FAABC4C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199706300000000000'~&~	~&~'162'~&~	~&~'270'~&~	~&~'EWORKMAN'~&~	~&~'199707180000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'26'~&~	~&~'237D10FAABC5C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199707310000000000'~&~	~&~'0'~&~	~&~'0'~&~	~&~'SPOLLARD'~&~	~&~'199708190000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'27'~&~	~&~'237D10FAABC6C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199707310000000000'~&~	~&~'308'~&~	~&~'176'~&~	~&~'EWORKMAN'~&~	~&~'199708200000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'28'~&~	~&~'237D10FAABC7C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199708310000000000'~&~	~&~'154'~&~	~&~'152'~&~	~&~'SPOLLARD'~&~	~&~'199709130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'29'~&~	~&~'237D10FAABC8C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199709300000000000'~&~	~&~'187'~&~	~&~'303'~&~	~&~'SPOLLARD'~&~	~&~'199710140000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'3'~&~	~&~'237D10FAABAEC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199509300000000000'~&~	~&~'1'~&~	~&~'0'~&~	~&~'SPOLLARD'~&~	~&~'199510270000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'30'~&~	~&~'237D10FAABC9C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199710310000000000'~&~	~&~'156'~&~	~&~'241'~&~	~&~'SPOLLARD'~&~	~&~'199711200000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'31'~&~	~&~'237D10FAABCAC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199711300000000000'~&~	~&~'80'~&~	~&~'228'~&~	~&~'EWORKMAN'~&~	~&~'199712150000000000'~&~	~&~]RECORD
